fname,class,label
file1.wav,down,0
file2.wav,down,0
file3.wav,down,0
file4.wav,down,0
file5.wav,down,0
file6.wav,down,0
file7.wav,down,0
file8.wav,down,0
file9.wav,down,0
file10.wav,down,0
file11.wav,down,0
file12.wav,down,0
file13.wav,down,0
file14.wav,down,0
file15.wav,down,0
file16.wav,down,0
file17.wav,down,0
file18.wav,down,0
file19.wav,down,0
file20.wav,down,0
file21.wav,down,0
file22.wav,down,0
file23.wav,down,0
file24.wav,down,0
file25.wav,down,0
file26.wav,down,0
file27.wav,down,0
file28.wav,down,0
file29.wav,down,0
file30.wav,down,0
file31.wav,down,0
file32.wav,down,0
file33.wav,down,0
file34.wav,down,0
file35.wav,down,0
file36.wav,down,0
file37.wav,down,0
file38.wav,down,0
file39.wav,down,0
file40.wav,down,0
file41.wav,down,0
file42.wav,down,0
file43.wav,down,0
file44.wav,down,0
file45.wav,down,0
file46.wav,down,0
file47.wav,down,0
file48.wav,down,0
file49.wav,down,0
file50.wav,down,0
file51.wav,down,0
file52.wav,down,0
file53.wav,down,0
file54.wav,down,0
file55.wav,down,0
file56.wav,down,0
file57.wav,down,0
file58.wav,down,0
file59.wav,down,0
file60.wav,down,0
file61.wav,down,0
file62.wav,down,0
file63.wav,down,0
file64.wav,down,0
file65.wav,down,0
file66.wav,down,0
file67.wav,down,0
file68.wav,down,0
file69.wav,down,0
file70.wav,down,0
file71.wav,down,0
file72.wav,down,0
file73.wav,down,0
file74.wav,down,0
file75.wav,down,0
file76.wav,down,0
file77.wav,down,0
file78.wav,down,0
file79.wav,down,0
file80.wav,down,0
file81.wav,down,0
file82.wav,down,0
file83.wav,down,0
file84.wav,down,0
file85.wav,down,0
file86.wav,down,0
file87.wav,down,0
file88.wav,down,0
file89.wav,down,0
file90.wav,down,0
file91.wav,down,0
file92.wav,down,0
file93.wav,down,0
file94.wav,down,0
file95.wav,down,0
file96.wav,down,0
file97.wav,down,0
file98.wav,down,0
file99.wav,down,0
file100.wav,down,0
file101.wav,down,0
file102.wav,down,0
file103.wav,down,0
file104.wav,down,0
file105.wav,down,0
file106.wav,down,0
file107.wav,down,0
file108.wav,down,0
file109.wav,down,0
file110.wav,down,0
file111.wav,down,0
file112.wav,down,0
file113.wav,down,0
file114.wav,down,0
file115.wav,down,0
file116.wav,down,0
file117.wav,down,0
file118.wav,down,0
file119.wav,down,0
file120.wav,down,0
file121.wav,down,0
file122.wav,down,0
file123.wav,down,0
file124.wav,down,0
file125.wav,down,0
file126.wav,down,0
file127.wav,down,0
file128.wav,down,0
file129.wav,down,0
file130.wav,down,0
file131.wav,down,0
file132.wav,down,0
file133.wav,down,0
file134.wav,down,0
file135.wav,down,0
file136.wav,down,0
file137.wav,down,0
file138.wav,down,0
file139.wav,down,0
file140.wav,down,0
file141.wav,down,0
file142.wav,down,0
file143.wav,down,0
file144.wav,down,0
file145.wav,down,0
file146.wav,down,0
file147.wav,down,0
file148.wav,down,0
file149.wav,down,0
file150.wav,down,0
file151.wav,down,0
file152.wav,down,0
file153.wav,down,0
file154.wav,down,0
file155.wav,down,0
file156.wav,down,0
file157.wav,down,0
file158.wav,down,0
file159.wav,down,0
file160.wav,down,0
file161.wav,down,0
file162.wav,down,0
file163.wav,down,0
file164.wav,down,0
file165.wav,down,0
file166.wav,down,0
file167.wav,down,0
file168.wav,down,0
file169.wav,down,0
file170.wav,down,0
file171.wav,down,0
file172.wav,down,0
file173.wav,down,0
file174.wav,down,0
file175.wav,down,0
file176.wav,down,0
file177.wav,down,0
file178.wav,down,0
file179.wav,down,0
file180.wav,down,0
file181.wav,down,0
file182.wav,down,0
file183.wav,down,0
file184.wav,down,0
file185.wav,down,0
file186.wav,down,0
file187.wav,down,0
file188.wav,down,0
file189.wav,down,0
file190.wav,down,0
file191.wav,down,0
file192.wav,down,0
file193.wav,down,0
file194.wav,down,0
file195.wav,down,0
file196.wav,down,0
file197.wav,down,0
file198.wav,down,0
file199.wav,down,0
file200.wav,down,0
file201.wav,down,0
file202.wav,down,0
file203.wav,down,0
file204.wav,down,0
file205.wav,down,0
file206.wav,down,0
file207.wav,down,0
file208.wav,down,0
file209.wav,down,0
file210.wav,down,0
file211.wav,down,0
file212.wav,down,0
file213.wav,down,0
file214.wav,down,0
file215.wav,down,0
file216.wav,down,0
file217.wav,down,0
file218.wav,down,0
file219.wav,down,0
file220.wav,down,0
file221.wav,down,0
file222.wav,down,0
file223.wav,down,0
file224.wav,down,0
file225.wav,down,0
file226.wav,down,0
file227.wav,down,0
file228.wav,down,0
file229.wav,down,0
file230.wav,down,0
file231.wav,down,0
file232.wav,down,0
file233.wav,down,0
file234.wav,down,0
file235.wav,down,0
file236.wav,down,0
file237.wav,down,0
file238.wav,down,0
file239.wav,down,0
file240.wav,down,0
file241.wav,down,0
file242.wav,down,0
file243.wav,down,0
file244.wav,down,0
file245.wav,down,0
file246.wav,down,0
file247.wav,down,0
file248.wav,down,0
file249.wav,down,0
file250.wav,down,0
file251.wav,down,0
file252.wav,down,0
file253.wav,down,0
file254.wav,down,0
file255.wav,down,0
file256.wav,down,0
file257.wav,down,0
file258.wav,down,0
file259.wav,down,0
file260.wav,down,0
file261.wav,down,0
file262.wav,down,0
file263.wav,down,0
file264.wav,down,0
file265.wav,down,0
file266.wav,down,0
file267.wav,down,0
file268.wav,down,0
file269.wav,down,0
file270.wav,down,0
file271.wav,down,0
file272.wav,down,0
file273.wav,down,0
file274.wav,down,0
file275.wav,down,0
file276.wav,down,0
file277.wav,down,0
file278.wav,down,0
file279.wav,down,0
file280.wav,down,0
file281.wav,down,0
file282.wav,down,0
file283.wav,down,0
file284.wav,down,0
file285.wav,down,0
file286.wav,down,0
file287.wav,down,0
file288.wav,down,0
file289.wav,down,0
file290.wav,down,0
file291.wav,down,0
file292.wav,down,0
file293.wav,down,0
